"","Rental_ID","Rent_Price","No_Bedrooms","No_Bathrooms","Neighborhood","SubMarket","Borough"
"105",1554,4890,1,1,"Upper West Side","All Upper West Side","Manhattan"
"106",6566,3800,1,1,"Midtown West","All Midtown","Manhattan"
"107",3068,5200,3,2,"Central Harlem","All Upper Manhattan","Manhattan"
"108",8385,2695,1,1,"Forest Hills","Central Queens","Queens"
"109",3515,2800,0,1,"Financial District","All Downtown","Manhattan"
"110",3257,4275,2,2,"Long Island City","Northwest Queens","Queens"
"111",1645,6000,2,2,"Midtown West","All Midtown","Manhattan"
"112",2704,2100,0,1,"Upper West Side","All Upper West Side","Manhattan"
"113",10876,2500,0,1,"Crown Heights","East Brooklyn","Brooklyn"
"114",3187,2300,1,1,"Chinatown","All Downtown","Manhattan"
"115",6882,16750,3,3,"Financial District","All Downtown","Manhattan"
"116",5974,6400,2,1,"Upper East Side","All Upper East Side","Manhattan"
"117",8071,5595,2,2,"Financial District","All Downtown","Manhattan"
"118",6519,2800,0,1,"Upper West Side","All Upper West Side","Manhattan"
"119",9663,3219,0,1,"Financial District","All Downtown","Manhattan"
"120",1239,8500,2,2,"Soho","All Downtown","Manhattan"
"121",194,2000,2,1,"Forest Hills","Central Queens","Queens"
"122",9386,2200,1,1,"Sunnyside","Northwest Queens","Queens"
"123",10593,2400,2,1,"Astoria","Northwest Queens","Queens"
"124",2295,10000,2,2,"Upper East Side","All Upper East Side","Manhattan"
"125",5912,2600,3,1,"Crown Heights","East Brooklyn","Brooklyn"
"126",3466,3775,1,1,"Upper East Side","All Upper East Side","Manhattan"
"127",6233,3226,1,1,"Prospect Park South","Prospect Park","Brooklyn"
"128",11163,4350,1,1,"Upper West Side","All Upper West Side","Manhattan"
"129",726,4995,2,2,"Williamsburg","North Brooklyn","Brooklyn"
"130",5075,6950,3,2,"Carroll Gardens","Northwest Brooklyn","Brooklyn"
"131",5852,3995,1,1,"Financial District","All Downtown","Manhattan"
"132",3458,4995,2,2,"Roosevelt Island","All Upper East Side","Manhattan"
"133",4076,7195,5,2,"Upper West Side","All Upper West Side","Manhattan"
"134",500,7600,2,2,"Tribeca","All Downtown","Manhattan"
"135",960,2995,1,1,"West Village","All Downtown","Manhattan"
"136",6080,4490,1,1,"Chelsea","All Downtown","Manhattan"
"137",7072,3450,3,2,"Washington Heights","All Upper Manhattan","Manhattan"
"138",8996,3800,1,1,"Midtown West","All Midtown","Manhattan"
"139",11177,14662,4,3,"Upper West Side","All Upper West Side","Manhattan"
"140",3104,3500,3,1,"Williamsburg","North Brooklyn","Brooklyn"
"141",2894,2575,0,1,"Upper West Side","All Upper West Side","Manhattan"
"142",1387,3080,1,1,"Williamsburg","North Brooklyn","Brooklyn"
"143",8676,6992,2,2,"Williamsburg","North Brooklyn","Brooklyn"
"144",10706,3750,1,1,"Greenwich Village","All Downtown","Manhattan"
"145",8378,6695,2,2,"Flatiron","All Downtown","Manhattan"
"146",3842,5500,1,1,"Upper East Side","All Upper East Side","Manhattan"
"147",7418,5475,1,1,"Midtown","All Midtown","Manhattan"
"148",8402,1850,1,1,"Astoria","Northwest Queens","Queens"
"149",9776,6000,4,2,"Williamsburg","North Brooklyn","Brooklyn"
"150",10549,4910,2,2,"Midtown West","All Midtown","Manhattan"
"151",10485,5150,1,1,"Tribeca","All Downtown","Manhattan"
"152",2474,4950,1,1,"Upper East Side","All Upper East Side","Manhattan"
"153",8940,2700,2,2,"Columbia St Waterfront District","Northwest Brooklyn","Brooklyn"
"154",987,1600,0,1,"Jackson Heights","Central Queens","Queens"
"155",6356,5225,1,1,"Tribeca","All Downtown","Manhattan"
"156",7240,4246,2,2,"Williamsburg","North Brooklyn","Brooklyn"
"157",7024,13750,3,3,"Upper West Side","All Upper West Side","Manhattan"
"158",1388,2299,3,1,"Crown Heights","East Brooklyn","Brooklyn"
"159",7568,2400,1.5,1,"Greenpoint","North Brooklyn","Brooklyn"
"160",292,4500,1,1,"Midtown South","All Midtown","Manhattan"
"161",7968,2485,1,1,"Clinton Hill","Northwest Brooklyn","Brooklyn"
"162",5416,2200,1,1,"Washington Heights","All Upper Manhattan","Manhattan"
"163",7667,4000,1,1,"Upper East Side","All Upper East Side","Manhattan"
"164",6408,4000,1,2,"Williamsburg","North Brooklyn","Brooklyn"
"165",7220,4300,0,1,"Flatiron","All Downtown","Manhattan"
"166",428,2750,1,1,"East Harlem","All Upper Manhattan","Manhattan"
"167",7191,2995,4,1,"Crown Heights","East Brooklyn","Brooklyn"
"168",5671,5120,2,2,"Midtown West","All Midtown","Manhattan"
"169",2409,5895,2,2,"Financial District","All Downtown","Manhattan"
"170",1935,11723,3,2,"Upper West Side","All Upper West Side","Manhattan"
"171",6553,4270,1,1,"Lower East Side","All Downtown","Manhattan"
"172",4977,2995,0,1,"Financial District","All Downtown","Manhattan"
"173",7800,2150,1,1,"Hamilton Heights","All Upper Manhattan","Manhattan"
"174",1122,3500,1,1,"Midtown East","All Midtown","Manhattan"
"175",7889,2150,1,1,"Midtown West","All Midtown","Manhattan"
"176",2291,1500,1,1,"Kensington","South Brooklyn","Brooklyn"
"177",508,4370,2,2,"Downtown Brooklyn","Northwest Brooklyn","Brooklyn"
"178",7731,2350,0,1,"Midtown East","All Midtown","Manhattan"
"179",9184,4499,2,1,"Midtown East","All Midtown","Manhattan"
"180",8612,3815,1,1,"Midtown East","All Midtown","Manhattan"
"181",8094,2400,2,1,"Crown Heights","East Brooklyn","Brooklyn"
"182",5659,3200,1,1,"Clinton Hill","Northwest Brooklyn","Brooklyn"
"183",2008,3200,2,1,"Midtown East","All Midtown","Manhattan"
"184",4123,3500,4,2,"Bushwick","East Brooklyn","Brooklyn"
"185",11007,1625,1,1,"Washington Heights","All Upper Manhattan","Manhattan"
"186",3874,3500,1,1,"Midtown East","All Midtown","Manhattan"
"187",9498,3495,1,1,"Midtown West","All Midtown","Manhattan"
"188",6861,2025,2,1,"Kew Gardens","Northeast Queens","Queens"
"189",5977,1600,1.5,1,"Bushwick","East Brooklyn","Brooklyn"
"190",5886,2025,0,1,"Upper West Side","All Upper West Side","Manhattan"
"191",1334,2700,3,1,"Washington Heights","All Upper Manhattan","Manhattan"
"192",5095,3550,1,1,"Upper West Side","All Upper West Side","Manhattan"
"193",3698,6000,1,1,"Tribeca","All Downtown","Manhattan"
"194",2940,4750,2,2,"Upper West Side","All Upper West Side","Manhattan"
"195",1751,2800,0,1,"Midtown West","All Midtown","Manhattan"
"196",5128,5000,1,1,"Chelsea","All Downtown","Manhattan"
"197",4967,3500,2,2,"Central Harlem","All Upper Manhattan","Manhattan"
"198",10963,1900,1,1,"Elmhurst","Central Queens","Queens"
"199",10259,1650,1,1,"Brighton Beach","South Brooklyn","Brooklyn"
"200",3137,6800,2,2,"Upper East Side","All Upper East Side","Manhattan"
"201",5939,2775,0,1,"Midtown","All Midtown","Manhattan"
"202",3037,7900,2,2,"Central Park South","All Midtown","Manhattan"
"203",4290,3995,1,1,"Upper West Side","All Upper West Side","Manhattan"
"204",6743,2200,1,1,"Kew Gardens Hills","Northeast Queens","Queens"
"205",11237,9950,1,2,"Tribeca","All Downtown","Manhattan"
"206",4857,2600,3,1,"Williamsburg","North Brooklyn","Brooklyn"
"207",1510,3400,1,1,"Upper West Side","All Upper West Side","Manhattan"
"208",1225,3300,1,1,"Upper West Side","All Upper West Side","Manhattan"
"209",9369,11000,2,2,"Soho","All Downtown","Manhattan"
"210",10421,2400,1,1,"Gowanus","Northwest Brooklyn","Brooklyn"
"211",3095,3250,2,1,"Upper West Side","All Upper West Side","Manhattan"
"212",10058,5700,2,2,"Chelsea","All Downtown","Manhattan"
"213",1861,7246,2,2,"Upper West Side","All Upper West Side","Manhattan"
"214",1034,5688,2,2,"Upper East Side","All Upper East Side","Manhattan"
"215",8457,2000,1,1,"Corona","Central Queens","Queens"
"216",4540,1800,1.5,1,"Bushwick","East Brooklyn","Brooklyn"
"217",2334,3295,2,2,"Astoria","Northwest Queens","Queens"
"218",5844,2350,1,1,"Astoria","Northwest Queens","Queens"
"219",2450,6350,1,2,"Tribeca","All Downtown","Manhattan"
"220",6690,2800,0,1,"Midtown West","All Midtown","Manhattan"
"221",583,5740,1,1,"Upper West Side","All Upper West Side","Manhattan"
"222",4717,3500,2,2,"Central Harlem","All Upper Manhattan","Manhattan"
"223",6754,3450,1,1,"Long Island City","Northwest Queens","Queens"
"224",11262,12500,3,3,"Midtown West","All Midtown","Manhattan"
"225",6266,2695,0,1,"Midtown West","All Midtown","Manhattan"
"226",7236,2895,0,1,"Upper East Side","All Upper East Side","Manhattan"
"227",4725,16500,2,2,"Chelsea","All Downtown","Manhattan"
"228",4937,5000,1,1,"Midtown West","All Midtown","Manhattan"
"229",574,6600,2,2,"Upper West Side","All Upper West Side","Manhattan"
"230",7665,3490,2,2,"Gramercy Park","All Downtown","Manhattan"
"231",10770,4800,2,2,"Midtown South","All Midtown","Manhattan"
"232",3136,4050,1,1,"Upper East Side","All Upper East Side","Manhattan"
"233",750,5850,1,1,"Chelsea","All Downtown","Manhattan"
"234",7782,2300,1,1,"Upper West Side","All Upper West Side","Manhattan"
"235",8302,2295,1.5,1,"Greenpoint","North Brooklyn","Brooklyn"
"236",10395,4700,3,2,"Williamsburg","North Brooklyn","Brooklyn"
"237",2660,3275,0,1,"Chelsea","All Downtown","Manhattan"
"238",4674,4095,1,1,"Upper East Side","All Upper East Side","Manhattan"
"239",2915,1875,0,1,"Carroll Gardens","Northwest Brooklyn","Brooklyn"
"240",3611,2900,2,1,"Crown Heights","East Brooklyn","Brooklyn"
"241",9558,3600,3,1,"Prospect Heights","Prospect Park","Brooklyn"
"242",3595,2995,2,1,"Midtown West","All Midtown","Manhattan"
"243",5881,5900,2,2,"Upper East Side","All Upper East Side","Manhattan"
"244",10368,3920,1,1,"Chelsea","All Downtown","Manhattan"
"245",76,4795,1,1,"Upper West Side","All Upper West Side","Manhattan"
"246",8862,3800,1,1,"Financial District","All Downtown","Manhattan"
"247",3978,12500,3,3,"Midtown East","All Midtown","Manhattan"
"248",17,5000,1,1,"Flatiron","All Downtown","Manhattan"
"249",4630,4365,0,1,"Chelsea","All Downtown","Manhattan"
"250",10804,3950,1,1,"Financial District","All Downtown","Manhattan"
"251",1997,2450,1,1,"Bushwick","East Brooklyn","Brooklyn"
"252",5030,4000,1,1,"Midtown South","All Midtown","Manhattan"
"253",3200,3905,1,1,"Upper East Side","All Upper East Side","Manhattan"
"254",461,4000,1,1,"West Village","All Downtown","Manhattan"
"255",874,2750,0,1,"Upper West Side","All Upper West Side","Manhattan"
"256",8915,3200,2,1,"Park Slope","Prospect Park","Brooklyn"
"257",9903,3631,1,1,"Stuyvesant Town/PCV","All Downtown","Manhattan"
"258",9566,2095,0,1,"Midtown West","All Midtown","Manhattan"
"259",7532,7995,2,2,"Soho","All Downtown","Manhattan"
"260",8562,2995,0,1,"Upper West Side","All Upper West Side","Manhattan"
"261",137,18450,2,2,"Upper East Side","All Upper East Side","Manhattan"
"262",9307,1450,1,1,"Richmond Hill","South Queens","Queens"
"263",1471,3300,1,1,"Williamsburg","North Brooklyn","Brooklyn"
"264",919,4250,1,1,"Midtown West","All Midtown","Manhattan"
"265",1656,8900,3,2,"Williamsburg","North Brooklyn","Brooklyn"
"266",4111,4995,1,1,"Gramercy Park","All Downtown","Manhattan"
"267",10528,4200,0,1,"Chelsea","All Downtown","Manhattan"
"268",210,4300,1,1,"Upper West Side","All Upper West Side","Manhattan"
"269",2972,2195,0,1,"Boerum Hill","Northwest Brooklyn","Brooklyn"
"270",3516,1975,1,1,"Kew Gardens","Northeast Queens","Queens"
"271",1543,14000,2,2,"Midtown","All Midtown","Manhattan"
"272",4182,2900,1,1,"Downtown Brooklyn","Northwest Brooklyn","Brooklyn"
"273",1432,8250,2,2,"Soho","All Downtown","Manhattan"
"274",2069,3950,1,1,"Chelsea","All Downtown","Manhattan"
"275",10349,5995,1,2,"Financial District","All Downtown","Manhattan"
"276",7807,2400,3,1,"Bedford-Stuyvesant","East Brooklyn","Brooklyn"
"277",9154,4785,1,1,"Midtown East","All Midtown","Manhattan"
"278",6221,4800,2,2,"Midtown East","All Midtown","Manhattan"
"279",3610,3595,1,1,"Upper East Side","All Upper East Side","Manhattan"
"280",6352,4500,2,2,"Midtown East","All Midtown","Manhattan"
"281",3560,5415,1,1,"Midtown South","All Midtown","Manhattan"
"282",2524,5500,1,1,"Soho","All Downtown","Manhattan"
"283",6158,3700,2,1,"Upper East Side","All Upper East Side","Manhattan"
"284",7122,1700,1,1,"East Harlem","All Upper Manhattan","Manhattan"
"285",7036,2000,2,1,"Bay Ridge","South Brooklyn","Brooklyn"
"286",5981,2799,0,1,"Upper East Side","All Upper East Side","Manhattan"
"287",1704,9300,3,3,"Upper West Side","All Upper West Side","Manhattan"
"288",4626,4990,1,1,"Chelsea","All Downtown","Manhattan"
"289",7027,7795,3,2,"Chelsea","All Downtown","Manhattan"
"290",4317,6000,2,2,"Flatiron","All Downtown","Manhattan"
"291",8711,2450,0,1,"Midtown East","All Midtown","Manhattan"
"292",2710,7000,4,3,"Midtown East","All Midtown","Manhattan"
"293",6236,3100,1,1,"Downtown Brooklyn","Northwest Brooklyn","Brooklyn"
"294",6035,3250,0,1,"Midtown West","All Midtown","Manhattan"
"295",3332,5495,1,1,"Flatiron","All Downtown","Manhattan"
"296",3768,2995,3,2,"Briarwood","Northeast Queens","Queens"
"297",7906,1650,1,1,"Prospect Park South","Prospect Park","Brooklyn"
"298",3828,4050,1,1,"Midtown East","All Midtown","Manhattan"
"299",10031,3900,1,1,"Tribeca","All Downtown","Manhattan"
"300",8229,3195,1,1,"Upper West Side","All Upper West Side","Manhattan"
"301",7471,3000,1,1,"Midtown West","All Midtown","Manhattan"
"302",780,3090,1,1,"Downtown Brooklyn","Northwest Brooklyn","Brooklyn"
"303",7915,4120,2,2,"Williamsburg","North Brooklyn","Brooklyn"
"304",7439,2900,3,1,"Astoria","Northwest Queens","Queens"
"305",9496,3700,1,1,"Midtown West","All Midtown","Manhattan"
"306",6312,7950,2,2,"Midtown West","All Midtown","Manhattan"
"307",5133,2000,1,1,"Kew Gardens","Northeast Queens","Queens"
"308",7680,2995,1,1,"Battery Park City","All Downtown","Manhattan"
"309",6727,2600,0,1,"Midtown West","All Midtown","Manhattan"
"310",9384,4079,2,2,"Clinton Hill","Northwest Brooklyn","Brooklyn"
"311",247,2095,0,1,"Midtown West","All Midtown","Manhattan"
"312",9660,5668,2,2,"Financial District","All Downtown","Manhattan"
"313",8317,1495,0,1,"Rego Park","Central Queens","Queens"
"314",118,7995,3,2,"Battery Park City","All Downtown","Manhattan"
"315",2147,3190,1,1,"East Village","All Downtown","Manhattan"
"316",2896,2300,1,1,"East Village","All Downtown","Manhattan"
"317",10586,1984,1,1,"Flatbush","South Brooklyn","Brooklyn"
"318",479,4950,2,2,"Upper West Side","All Upper West Side","Manhattan"
"319",10885,3400,1,1,"Astoria","Northwest Queens","Queens"
"320",1465,3100,1,1,"West Village","All Downtown","Manhattan"
"321",3253,3000,1,1,"Long Island City","Northwest Queens","Queens"
"322",802,2745,0,1,"Downtown Brooklyn","Northwest Brooklyn","Brooklyn"
"323",6838,2535,1,1,"Astoria","Northwest Queens","Queens"
"324",5799,6400,3,2,"Chelsea","All Downtown","Manhattan"
"325",8705,3950,1,1,"Financial District","All Downtown","Manhattan"
"326",3291,4400,1,1,"Soho","All Downtown","Manhattan"
"327",2466,6450,2,2,"Gramercy Park","All Downtown","Manhattan"
"328",5009,3100,1,1,"Upper West Side","All Upper West Side","Manhattan"
"329",10181,7700,2,2,"Financial District","All Downtown","Manhattan"
"330",10047,1695,1,1,"Kensington","South Brooklyn","Brooklyn"
"331",8548,18250,4,4,"Upper West Side","All Upper West Side","Manhattan"
"332",78,13500,3,3,"Upper West Side","All Upper West Side","Manhattan"
"333",8656,5780,3,2,"Midtown West","All Midtown","Manhattan"
"334",1732,6800,2,2,"Midtown South","All Midtown","Manhattan"
"335",1583,3300,2,1,"Upper East Side","All Upper East Side","Manhattan"
"336",3664,5500,2,1,"Tribeca","All Downtown","Manhattan"
"337",4534,1750,2,1,"Washington Heights","All Upper Manhattan","Manhattan"
"338",10653,2850,1,1,"Williamsburg","North Brooklyn","Brooklyn"
"339",10587,2123,1,1,"Flatbush","South Brooklyn","Brooklyn"
"340",3314,8500,2,2,"Midtown East","All Midtown","Manhattan"
"341",2272,2650,0,1,"Midtown East","All Midtown","Manhattan"
"342",4594,3700,1,1,"Battery Park City","All Downtown","Manhattan"
"343",6371,6000,1,1,"Greenwich Village","All Downtown","Manhattan"
"344",3901,5145,2,2,"Upper East Side","All Upper East Side","Manhattan"
"345",146,2600,1,1,"Midtown","All Midtown","Manhattan"
"346",1189,2250,1,0,"Greenpoint","North Brooklyn","Brooklyn"
"347",9816,2945,1,1,"Astoria","Northwest Queens","Queens"
"348",8023,1600,0,1,"Central Harlem","All Upper Manhattan","Manhattan"
"349",2584,3058,0,1,"Financial District","All Downtown","Manhattan"
"350",5653,4475,0,1,"Chelsea","All Downtown","Manhattan"
"351",1827,4950,1,1,"Financial District","All Downtown","Manhattan"
"352",10940,3932,1,1,"Financial District","All Downtown","Manhattan"
"353",10312,1900,1,1,"Rego Park","Central Queens","Queens"
"354",1511,3000,1,1,"Midtown","All Midtown","Manhattan"
"355",6623,2450,2,2,"Kew Gardens","Northeast Queens","Queens"
"356",1767,5150,3,1,"Midtown West","All Midtown","Manhattan"
"357",6093,3450,1,1,"Midtown South","All Midtown","Manhattan"
"358",6174,2250,2,1,"Hamilton Heights","All Upper Manhattan","Manhattan"
"359",3366,4260,2,1,"Midtown East","All Midtown","Manhattan"
"360",5068,4375,1,1,"Flatiron","All Downtown","Manhattan"
"361",8860,4995,2,2,"DUMBO","Northwest Brooklyn","Brooklyn"
"362",1306,10995,3,3,"Upper West Side","All Upper West Side","Manhattan"
"363",2468,2900,1,1,"Midtown East","All Midtown","Manhattan"
"364",1102,4200,1,1,"Gramercy Park","All Downtown","Manhattan"
"365",4281,1700,1,1,"Astoria","Northwest Queens","Queens"
"366",3194,2600,0,1,"Downtown Brooklyn","Northwest Brooklyn","Brooklyn"
"367",10238,5300,2,2,"Greenpoint","North Brooklyn","Brooklyn"
"368",3751,7500,3,2,"Upper East Side","All Upper East Side","Manhattan"
"369",3289,3665,1,1,"Financial District","All Downtown","Manhattan"
"370",54,3800,3,2,"Upper West Side","All Upper West Side","Manhattan"
"371",11053,3786,2,1,"Williamsburg","North Brooklyn","Brooklyn"
"372",8870,5300,2,1,"Brooklyn Heights","Northwest Brooklyn","Brooklyn"
"373",5046,2900,3,1,"Bushwick","East Brooklyn","Brooklyn"
"374",5637,2975,1,1,"Clinton Hill","Northwest Brooklyn","Brooklyn"
"375",10552,2995,1,1,"Midtown East","All Midtown","Manhattan"
"376",2361,3935,1,1,"Upper West Side","All Upper West Side","Manhattan"
"377",7844,1500,1,1,"Flatbush","South Brooklyn","Brooklyn"
"378",3369,1995,1,1,"Astoria","Northwest Queens","Queens"
"379",5077,2495,0.5,1,"Midtown East","All Midtown","Manhattan"
"380",7834,4000,1.5,1,"Williamsburg","North Brooklyn","Brooklyn"
"381",9365,1800,1,1,"Astoria","Northwest Queens","Queens"
"382",1128,3400,1,1,"Upper West Side","All Upper West Side","Manhattan"
"383",4672,5535,2,2,"Midtown East","All Midtown","Manhattan"
"384",2593,3600,1,1,"Midtown South","All Midtown","Manhattan"
"385",4496,5440,2,2,"Upper West Side","All Upper West Side","Manhattan"
"386",6774,1950,0,1,"Upper East Side","All Upper East Side","Manhattan"
"387",1019,4100,1,1,"Upper West Side","All Upper West Side","Manhattan"
"388",532,2200,0,1,"Gramercy Park","All Downtown","Manhattan"
"389",3307,7000,2.5,2,"Financial District","All Downtown","Manhattan"
"390",410,2200,0,1,"Williamsburg","North Brooklyn","Brooklyn"
"391",9119,6300,2,2,"Brooklyn Heights","Northwest Brooklyn","Brooklyn"
"392",10327,4695,2,2,"Financial District","All Downtown","Manhattan"
"393",4966,5300,1,1,"Flatiron","All Downtown","Manhattan"
"394",4184,7900,2,2,"Gramercy Park","All Downtown","Manhattan"
"395",4892,2400,0,1,"Williamsburg","North Brooklyn","Brooklyn"
"396",28,2350,1,1,"Park Slope","Prospect Park","Brooklyn"
"397",866,3600,1,1,"Gramercy Park","All Downtown","Manhattan"
"398",4975,1600,0,1,"Rego Park","Central Queens","Queens"
